AK,21.94
AL,12.18
AR,9.81
AZ,12.77
CA,18.84
CO,12.15
CT,21.2
DC,12.84
DE,12.53
FL,11.54
GA,11.47
HI,32.47
IA,12.24
ID,10.15
IL,12.77
IN,12.26
KS,13.35
KY,10.6
LA,9.59
MA,21.61
MD,13.3
ME,16.84
MI,15.45
MN,13.14
MO,11.34
MS,11.12
MT,10.96
NC,11.09
ND,10.25
NE,10.7
NH,19.69
NJ,15.41
NM,12.68
NV,11.85
NY,18.52
OH,12.56
OK,10.3
OR,10.98
PA,13.89
RI,20.55
SC,12.44
SD,11.59
TN,10.71
TX,11.2
UT,10.41
VA,11.73
VT,18.02
WA,9.75
WI,14.02
WV,11.18
WY,11.29
